Name,Position,Appearances,Club,Age,Country
Jamie Paterson,Forward,9,Swansea City,29 ,England
Gary Madine,Forward,3,Blackpool,31 ,England
Jordan Zemura,Defender,9,AFC Bournemouth,21 ,Zimbabwe
Ben Davies,Defender,4,Sheffield United,26 ,England
Daniel Potts,Defender,1,Luton Town,27 ,England
Danny Hylton,Forward,1,Luton Town,32 ,England
Jayden Richardson,Defender,2,Nottingham Forest,21 ,England
Gary Gardner,Midfielder,7,Birmingham City,29 ,England
Tyler Magloire,Defender,3,Blackburn Rovers,22 ,England
Alfie Doughty,Midfielder,9,Stoke City,0 ,England
Daniel Sanchez Ayala,Defender,9,Blackburn Rovers,30 ,Spain
Keane Lewis-Potter,Forward,10,Hull City,20 ,England
Antonee Robinson,Defender,12,Fulham,24 ,England
Carlos Miguel Ribeiro Dias,Midfielder,4,Nottingham Forest,28 ,Portugal
Harlee Dean,Defender,9,Birmingham City,30 ,England
James Garner,Defender,6,Nottingham Forest,20 ,England
Jake Livermore,Midfielder,9,West Bromwich Albion,31 ,England
Matt Phillips,Midfielder,9,West Bromwich Albion,30 ,Scotland
Scott Hogan,Forward,8,Birmingham City,29 ,England
Osman Kakay,Defender,8,Queens Park Rangers,24 ,England
Alfie Mawson,Defender,5,Fulham,27 ,England
Kevin Linford Stewart,Midfielder,2,Blackpool,27 ,England
Tom Bradshaw,Forward,6,Millwall,29 ,Wales
Kyle John McFadzean,Defender,9,Coventry City,34 ,England
John Buckley,Midfielder,10,Blackburn Rovers,21 ,England
Nathan Baker,Defender,8,Bristol City,30 ,England
Adlène Guédioura,Midfielder,2,Sheffield United,35 ,Algeria
George Baldock,Defender,9,Sheffield United,28 ,England
Jay Dasilva,Defender,9,Bristol City,23 ,England
Josh Benson,Midfielder,7,Barnsley,21 ,England
Zeno Ibsen Rossi,Defender,3,AFC Bournemouth,20 ,England
CJ Hamilton,Midfielder,6,Blackpool,26 ,England
Rhian Brewster,Forward,8,Sheffield United,21 ,England
Isaiah Jones,Midfielder,1,Middlesbrough,22 ,England
Thomas Sang,Defender,4,Cardiff City,22 ,England
Ryan Wintle,Midfielder,7,Blackpool,24 ,England
Denis Odoi,Defender,6,Fulham,33 ,Belgium
John Swift,Midfielder,9,Reading,26 ,England
Kieron Evans,Defender,2,Cardiff City,19 ,Wales
Emiliano Marcondes Camargo Hansen,Midfielder,7,AFC Bournemouth,26 ,Denmark
Aapo Halme,Defender,6,Barnsley,23 ,Finland
Conor Hourihane,Midfielder,7,Sheffield United,30 ,Republic of Ireland
Reece James,Defender,9,Chelsea,21 ,England
Duncan Watmore,Midfielder,5,Middlesbrough,27 ,England
Dael Fry,Midfielder,9,Middlesbrough,24 ,England
Aleksandar Mitrović,Forward,14,Fulham,26 ,Serbia
Scott McKenna,Defender,11,Nottingham Forest,24 ,Scotland
Kenneth Dahrup Zohorè,Forward,3,West Bromwich Albion,27 ,Denmark
Dominik Frieser,Midfielder,9,Barnsley,27 ,Austria
Joe Rothwell,Midfielder,10,Blackburn Rovers,26 ,England
Oviemuno Dominic Ejaria,Midfielder,4,Reading,23 ,England
Josh Murphy,Forward,6,Preston North End,26 ,England
Alistair McCann,Midfielder,17,St. Johnstone,21 ,Scotland
Jed Wallace,Midfielder,9,Millwall,27 ,England
Danny Simpson,Defender,3,Bristol City,34 ,England
Oliver Turton,Defender,11,Huddersfield Town,28 ,England
Oliver Burke,Midfielder,5,Sheffield United,24 ,Scotland
Duane Holmes,Midfielder,9,Huddersfield Town,26 ,USA
Leandro Bacuna,Midfielder,13,Cardiff City,30 ,Curaçao
Alexandre Nascimento Costa Silva,Forward,1,Nottingham Forest,24 ,Portugal
Curtis Davies,Defender,9,Derby County,36 ,England
Matt Grimes,Midfielder,10,Swansea City,26 ,England
Joe Lolley,Forward,6,Nottingham Forest,29 ,England
Femi Azeez,Midfielder,4,Reading,0 ,England
Max Bird,Midfielder,9,Derby County,20 ,England
Dillon Phillips,Goalkeeper,9,Cardiff City,26 ,England
